influencer_name,display_name,post_count,avg_likes,avg_comments,avg_views,total_likes,total_comments,account_type,country,followers_at_date,oldest_followers,FGR,first_post,last_post,category
butikmerveaksoy,Butik Merve Aksoy,100,1217.2,33.64,550914.85,121720,3364,creator,TR,2754574,2203659,-19.94,2026-02-09 08:29:34,2026-05-19 13:44:28,
cag1aoz,ÇAĞLA ÖZ,100,30908.33,9081.66,2654729.84,3090833,908166,creator,TR,13273649,10618919,456.35,2025-03-26 17:43:35,2026-05-19 15:27:05,
caglaralkac,Çağlar Alkaç,100,21625.1,19.59,12623.95,2162510,1959,business,TR,63120,50496,0.0,2017-04-27 20:47:54,2023-12-14 19:20:29,
caglasikel,Çağla Şıkel,100,52397.85,656.05,2705614.92,5239785,65605,business,TR,13528075,10822460,-39.98,2025-06-09 09:33:51,2026-05-16 14:22:34,
caglasimsek1,Çağla Şimşek,100,93422.25,1407.46,2334945.74,9342225,140746,creator,TR,11674729,9339783,-59.93,2023-07-17 13:49:44,2026-05-03 16:05:34,
caner,Caner Atik,68,28506.41176470588,576.8970588235294,1032843.5,1938436,39229,creator,TR,5164218,4131374,-49.22,2020-03-21 15:00:06,2026-05-19 19:33:03,
caner_clsr,Caner Çalışır,100,21899.21,451.12,0.0,2189921,45112,personal,TR,0,0,0.0,2017-11-28 21:10:21,2020-04-23 14:37:24,
canercindoruk,Caner Cindoruk,100,42679.15,785.23,330636.21,4267915,78523,creator,TR,1653181,1322545,0.0,2019-10-27 09:06:19,2026-05-18 14:05:18,
canereler,Caner Eler,100,1982.0,27.56,61264.02,198200,2756,business,TR,306320,245056,0.0,2022-02-12 19:28:29,2026-05-16 11:17:41,
canererkin,Caner Erkin,100,48564.18,116.9,700099.11,4856418,11690,creator,TR,3500496,2800396,0.0,2020-09-25 13:30:02,2026-03-31 20:46:40,
caneryldrmm,Caner Yıldırım,100,90755.53,278.4,3322983.68,9075553,27840,creator,TR,16614918,13291935,-55.59,2025-04-20 08:46:00,2026-05-17 09:43:17,
canrtopcu,Caner Topçu,100,65551.69,327.65,2330157.26,6555169,32765,creator,TR,11650786,9320629,-74.53,2023-06-23 17:27:23,2026-05-16 08:56:00,
cansuakinn,Cansu Akın,100,2635.2,40.09,302942.25,263520,4009,creator,TR,1514711,1211769,-68.47,2025-05-22 10:42:55,2026-05-19 18:15:17,
chefburcinarda,Burçin Arda|Pastry Chef,100,92786.38,154.39,5967764.3,9278638,15439,creator,TR,29838822,23871057,-75.23,2026-03-13 20:07:14,2026-05-19 16:46:58,
chefganicaglar,Gani Çağlar SANDIKKAYA,100,35427.22,109.4,1041306.31,3542722,10940,creator,TR,5206532,4165225,-4.92,2025-12-02 09:32:27,2026-05-18 20:04:41,
cilgin_fikirlerr,Merve AKMAN,100,3975.52,31.48,258293.57,397552,3148,creator,TR,1291468,1033174,-52.86,2023-12-01 06:02:30,2026-04-15 19:03:52,
cznburak,Burak Özdemir,100,75842.33,1035.08,3072223.13,7584233,103508,creator,TR,15361116,12288893,-22.93,2026-02-14 11:58:38,2026-05-17 14:58:36,
damlaaltun,Damla Altun Sengul,100,35536.33,134.23,1441750.86,3553633,13423,creator,TR,7208754,5767003,2453.11,2026-02-09 13:14:02,2026-05-13 19:27:40,
damlaaltuntassssss,Damla Altuntaş,100,0.0,0.0,1923.26,0,0,personal,TR,9616,7693,-24.61,2025-10-08 20:38:44,2026-05-10 05:22:07,
danlabilic,Danla,100,102184.19,435.62,8342990.27,10218419,43562,creator,TR,41714951,33371961,-77.8,2024-05-22 18:58:06,2026-05-07 14:54:44,
denizsevvalsarikaya,Deniz Şevval,100,4924.39,16.2,71374.07,492439,1620,creator,TR,356870,285496,323.36,2026-01-28 18:41:15,2026-05-18 17:00:35,
